,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
311,とらえもんのひたのたいようおうてんせつ/ドラえもん のび太の太陽王伝説,ふしこふろ/藤子プロ,－,1999.10,2000.03,－
312,なそなそかいしんそなあくん/なぞなぞ怪人ゾナーくん,たまい たけし/玉井たけし,－,1999.10,2001.05,『別冊コロコロコミック』から移動
313,けえむたいすきけえむくん/ゲーム大好き!げーむくん,みすなか/みずなが柳壱,－,1999.11,2000.03,－
314,ほけつともんすたあきんきんこおるてんほおいす/ポケットモンスター金・銀 ゴールデン・ボーイズ,さいとう むねお/斉藤むねお,－,1999.11,2001.09,－
315,とんてもあとへんちやあすはいろくん/とんでもアドベンチャー スパイロくん,はるかせ さんた/春風邪三太,－,2000.03,2000.05,－
316,けつとさこおるふおおういふおおあらし/GET THE GOAL!! 4V4嵐,こした てつひろ/こしたてつひろ,－,2000.03,2001.12,－
317,たたかえちきゆうほおええたいまつく/たたかえ!地球ぼーえー隊MAC,うおりやあ おおはし/うおりゃー大橋,－,2000.05,2002.04,－
318,そくそくひいろおす/ぞくぞくヒーローズ,かしもと まなう/樫本学ヴ,－,2000.06,2000.12,－
319,おんそくはすたあたんかんたん/音速バスター DANGUN弾,てしろき たかし/てしろぎたかし,－,2000.06,2004.02,－
320,とかほんみれにあむくえすと/ドカポン ミレニアムクエスト,ほり/堀美一,－,2000.08,2000.09,－
321,なかむらしゆんすけあおきふあんたしすた/中村俊輔 ～青きファンタジスタ～,かつらた けんし/桂田健治,もとかわ えつこ/元川悦子,2000.09,2000.10,－
322,あつはれめかはかほおいす/あっぱれメガバカBoys,のむら しんほ/のむらしんぼ,－,2000.09,2002.08,－
323,とらへえすとらえもんすうはあへえすほおるかいてん/ドラベース ドラえもん超野球外伝,むきわら しんたろう/むぎわらしんたろう,－,2000.09,2011.10,－
324,まつするきんく/マッスルキング,おおうち すいくん/大内水軍,－,2000.11,2001.01,－
325,とらえもんのひたとつはさのゆうしやたち/ドラえもん のび太と翼の勇者たち,ふしこふろ/藤子プロ,－,2001.02,2001.03,－
326,ろつくまんえくせ/ロックマンエグゼ,たかみさき りよう/鷹岬諒,－,2001.02,2006.09,－
327,とひきりふらさああにまん/とびきりブラザー アニマン,ひしおか まこと/ひじおか誠,－,2001.04,2001.09,－
328,ころつけ/コロッケ!,かしもと まなう/樫本学ヴ,－,2001.04,2006.11,－
329,はくてんひいろおふれえたあていいしえい/爆転HERO ブレーダーDJ,おおせ よしお/おおせよしお,－,2001.06,2003.11,－
330,おはつすとうしようてつけんかくちやん/おはっス道場 鉄拳!角ちゃん,いいた きよし/飯田清,－,2001.07,2002.08,－
331,きんにくはんつけかいてんかいけつこんこうくん/筋肉番付外伝 怪傑!金剛くん,おおうち すいくん/大内水軍,ひくち うしお/樋口潮 （原案・監修）,2001.08,2002.09,『別冊コロコロコミック』から移動
332,せつたいせつめいてんちやらすしいさん/絶体絶命でんぢゃらすじーさん,そやか かすとし/曽山一寿,－,2001.10,2010.03,－
333,はくしやおうすなつふきつす/爆写王!スナップキッズ,ひしおか まこと/ひじおか誠,－,2001.12,2002.11,－
334,そいとふらねつとすいい/ZOIDS惑星Zi,しおさき ゆうし/塩崎雄二,－,2001.12,2003.07,－
335,とらえもんのひたとろほつときんくたむ/ドラえもん のび太とロボット王国,ふしこふろ/藤子プロ,－,2002.02,2002.03,－
