,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
459,しゆりけんとんま/手裏拳トンマ,かしもと まなう/樫本学ヴ,－,2016.04,5000、ソート用連載中,－
460,はすとらくろす/パズドラクロス,いのうえ ももた/井上桃太,－,2016.05,5000、ソート用連載中,－
461,へほつと/ヘボット!,こかえる/小ガエル,－,2016.09,2017.06,－
462,えいかようかいうおつちそらとふくしらとたふるせかいのたいほうけんたにやん/映画妖怪ウォッチ 空飛ぶクジラとダブル世界の大冒険だニャン!,こにし のりゆき/小西紀行,－,2016.10,2017.01,－
463,ほけつともんすたあほらいすん/ポケットモンスター ホライズン,やふの てんや/やぶのてんや,－,2016.10,5000、ソート用連載中,－
464,ほしのかあひいまんふくふふふふあんたしい/星のカービィ 〜まんぷくプププファンタジー〜,たけうち いふき/武内いぶき,－,2016.11,5000、ソート用連載中,－
465,すなつくわあると/スナックワールド,よろすや ふしみのすけ/萬屋不死身之介,－,2017.01,5000、ソート用連載中,－
466,てゆえるますたあすはあさす/デュエル・マスターズ (2017年版),まつもと しけのふ/松本しげのぶ,－,2017.03,5000、ソート用連載中,－
467,なんとてんちやらすしいさん/なんと!でんぢゃらすじーさん,そやま かすとし/曽山一寿,－,2017.04,5000、ソート用連載中,－
468,すふらとううん/スプラトゥーン,ひのてや さんきち/ひのでや参吉,－,2017.06,5000、ソート用連載中,『別冊コロコロコミック』から移動
